season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,r_sec_minus_prim_lead
2015,1,605141,Mookie Betts,28.7,1.74,12.429531646,5.642240506,,,,21,6,0.7779267625778227,0.003608618608187286,5.642240506
2015,2,608070,José Ramírez,28.0,1.74,12.295364583,5.031840278,,,,10,4,0.7312450738152803,-0.031203405062153466,5.031840278
2015,3,608070,José Ramírez,28.0,1.72,12.295364583,5.031840278,,,,10,4,0.7312450738152803,-0.031203405062153466,5.031840278
2015,4,547180,Bryce Harper,27.7,1.8,11.668186722,4.916755187,,,,6,4,0.659577093499355,-0.09958270557344351,4.916755187
2015,5,592663,J.T. Realmuto,28.8,1.75,12.115241176,4.642758824,,,,8,4,0.6996268472053133,-0.0768665150782244,4.642758824
2015,6,593428,Xander Bogaerts,28.3,1.78,12.125084821,4.347678571,,,,10,2,0.8172739060288426,0.050457755634417345,4.347678571
2015,7,543760,Marcus Semien,28.9,1.72,12.177804233,3.618862434,,,,11,5,0.7092217334519203,-0.06956673511355815,3.618862434
2015,8,621043,Carlos Correa,28.3,1.77,10.345008299,3.599082988,,,,14,4,0.7779850609778403,0.01116891058341496,3.599082988
2015,9,596019,Francisco Lindor,28.4,1.75,12.0631875,3.421482143,,,,12,2,0.8365082317100171,0.06799641487384844,3.421482143
2015,10,596019,Francisco Lindor,28.4,1.72,12.0631875,3.421482143,,,,12,2,0.8365082317100171,0.06799641487384844,3.421482143
2015,11,606466,Ketel Marte,28.1,1.75,9.871389474,3.392936842,,,,8,4,0.6996268472053133,-0.06415763420974407,3.392936842
2015,12,606466,Ketel Marte,28.1,1.72,9.871389474,3.392936842,,,,8,4,0.6996268472053133,-0.06415763420974407,3.392936842
2015,13,592518,Manny Machado,27.4,1.78,11.762858491,3.305216981,,,,20,8,0.7240501940148584,-0.03289991696566308,3.305216981
2015,14,543807,George Springer,28.8,1.71,11.20488601,3.301772021,,,,16,4,0.795746256099613,0.01925289381607531,3.301772021
2015,15,592626,Joc Pederson,27.2,1.76,10.410209945,3.28240884,,,,4,7,0.4933535251556453,-0.26272290027022277,3.28240884
2016,1,605141,Mookie Betts,27.9,1.74,12.429531646,5.642240506,,,,26,4,0.8541044686425807,0.09287210433473225,5.642240506
2016,2,608070,José Ramírez,27.9,1.77,12.295364583,5.031840278,,,,22,7,0.7615781294850096,0.000345765177161117,5.031840278
2016,3,608070,José Ramírez,27.9,1.72,12.295364583,5.031840278,,,,22,7,0.7615781294850096,0.000345765177161117,5.031840278
2016,4,547180,Bryce Harper,27.3,1.78,11.668186722,4.916755187,,,,21,10,0.6914904556247312,-0.06496286859444345,4.916755187
2016,5,595879,Javier Báez,28.8,1.75,10.957180952,4.696933333,,,,12,3,0.7946828201245163,0.018189457840978585,4.696933333
2016,6,592663,J.T. Realmuto,28.8,1.76,12.115241176,4.642758824,,,,12,4,0.7568407810709679,-0.019652581212569853,4.642758824
2016,7,593428,Xander Bogaerts,28.3,1.77,12.125084821,4.347678571,,,,13,4,0.7678934728404694,0.0010773224460440822,4.347678571
2016,8,596115,Trevor Story,29.6,1.73,12.970051546,4.217072165,,,,8,5,0.6607586890272403,-0.1374523866169397,4.217072165
2016,9,553993,Eugenio Suárez,27.4,1.8,10.978256944,3.666729167,,,,11,5,0.7092217334519203,-0.04772837752860115,3.666729167
2016,10,543760,Marcus Semien,28.4,1.76,12.177804233,3.618862434,,,,10,2,0.8172739060288426,0.048762089192673996,3.618862434
2016,11,621043,Carlos Correa,28.0,1.78,10.345008299,3.599082988,,,,13,3,0.8044598286900155,0.04201134981258181,3.599082988
2016,12,607208,Trea Turner,30.0,1.73,11.411938596,3.574809942,,,,33,6,0.8384921909656892,0.026544947408236763,3.574809942
2016,13,596019,Francisco Lindor,27.1,1.78,12.0631875,3.421482143,,,,19,5,0.7894364276720802,0.03361701307147946,3.421482143
2016,14,596019,Francisco Lindor,27.1,1.74,12.0631875,3.421482143,,,,19,5,0.7894364276720802,0.03361701307147946,3.421482143
2016,15,606466,Ketel Marte,28.4,1.74,9.871389474,3.392936842,,,,11,5,0.7092217334519203,-0.05929008338424835,3.392936842
2017,1,605141,Mookie Betts,27.9,1.75,12.429531646,5.642240506,,,,26,3,0.879225188308539,0.11799282400069055,5.642240506
2017,2,624428,Adam Frazier,27.5,1.76,12.576537879,5.210234848,,,,9,5,0.6786134948679119,-0.07895329084199565,5.210234848
2017,3,608070,José Ramírez,27.9,1.76,12.295364583,5.031840278,,,,17,5,0.7738391260181602,0.01260676171031172,5.031840278
2017,4,608070,José Ramírez,27.9,1.72,12.295364583,5.031840278,,,,17,5,0.7738391260181602,0.01260676171031172,5.031840278
2017,5,595879,Javier Báez,28.5,1.77,10.957180952,4.696933333,,,,10,3,0.7718698001383514,0.0015424288924000829,4.696933333
2017,6,592663,J.T. Realmuto,28.6,1.76,12.115241176,4.642758824,,,,8,2,0.7929104268326884,0.020647613208914284,4.642758824
2017,7,664023,Ian Happ,28.8,1.75,10.538212454,4.404992674,,,,8,4,0.6996268472053133,-0.0768665150782244,4.404992674
2017,8,664023,Ian Happ,28.8,1.76,10.538212454,4.404992674,,,,8,4,0.6996268472053133,-0.0768665150782244,4.404992674
2017,9,593428,Xander Bogaerts,28.3,1.78,12.125084821,4.347678571,,,,15,1,0.8996979239281108,0.13288177353368547,4.347678571
2017,10,518692,Freddie Freeman,26.6,1.81,12.235060811,4.331902027,,,,8,5,0.6607586890272403,-0.09557399096761876,4.331902027
2017,11,593871,Jorge Polanco,28.4,1.77,12.317263158,3.988017544,,,,13,5,0.7345068001082751,-0.03400501672789358,3.988017544
2017,12,593871,Jorge Polanco,28.4,1.79,12.317263158,3.988017544,,,,13,5,0.7345068001082751,-0.03400501672789358,3.988017544
2017,13,592450,Aaron Judge,28.0,1.79,10.921927928,3.824536036,,,,9,4,0.7163142445827959,-0.04613423429463781,3.824536036
2017,14,543760,Marcus Semien,28.4,1.74,12.177804233,3.618862434,,,,12,1,0.8829809112494625,0.11446909441329389,3.618862434
2017,15,607208,Trea Turner,30.3,1.71,11.411938596,3.574809942,,,,46,8,0.8456551932625478,0.022147000105724457,3.574809942
2018,1,605141,Mookie Betts,28.1,1.75,12.429531646,5.642240506,4.3401850046153845,53.12305,1.99,30,6,0.826674546402203,0.06289006498714556,5.642240506
2018,2,608070,José Ramírez,27.4,1.74,12.295364583,5.031840278,3.8706463676923075,52.82172,2.04,34,6,0.8420812533886738,0.08513114240815234,5.031840278
2018,3,608070,José Ramírez,27.4,1.76,12.295364583,5.031840278,3.8706463676923075,52.82172,2.04,34,6,0.8420812533886738,0.08513114240815234,5.031840278
2018,4,547180,Bryce Harper,27.5,1.78,11.668186722,4.916755187,3.7821193746153843,52.4535,2.04,13,3,0.8044598286900155,0.04689304298010799,4.916755187
2018,5,595879,Javier Báez,28.8,1.76,10.957180952,4.696933333,3.6130256407692305,54.568079999999995,2.005,21,9,0.7112473257854379,-0.06524603649809979,4.696933333
2018,6,643396,Isiah Kiner-Falefa,28.0,1.77,12.344880734,4.535688073,3.4889908253846156,52.508399999999995,1.9949999999999999,7,5,0.6408033177935486,-0.12164516108388512,4.535688073
2018,7,664023,Ian Happ,27.6,1.78,10.538212454,4.404992674,,,,8,4,0.6996268472053133,-0.0586765012020205,4.404992674
2018,8,664023,Ian Happ,27.6,1.8,10.538212454,4.404992674,,,,8,4,0.6996268472053133,-0.0586765012020205,4.404992674
2018,9,593428,Xander Bogaerts,27.8,1.79,12.125084821,4.347678571,,,,8,2,0.7929104268326884,0.03277428912638414,4.347678571
2018,10,518692,Freddie Freeman,26.7,1.8,12.235060811,4.331902027,3.3322323284615383,50.38289999999999,2.04,10,3,0.7718698001383514,0.015879549158423267,4.331902027
2018,11,641343,Jake Bauers,27.8,1.78,11.678393258,4.22547191,3.250363007692308,50.42642,1.94,6,6,0.5819797883817839,-0.1781563493245204,4.22547191
2018,12,606192,Teoscar Hernández,28.6,1.79,12.779433198,4.224502024,3.249616941538462,52.265069999999994,1.9649999999999999,5,5,0.5929104268326884,-0.17935238679108578,4.224502024
2018,13,596115,Trevor Story,29.6,1.71,12.970051546,4.217072165,3.2439016653846156,58.8596,2.05,27,6,0.8129909579602718,0.01477988231609173,4.217072165
2018,14,660162,Yoán Moncada,28.8,1.74,12.317113333,4.00746,3.0826615384615383,55.67664,2.0033333333333334,12,6,0.6910285392387098,-0.08546482304482794,4.00746
2018,15,660162,Yoán Moncada,28.8,1.72,12.317113333,4.00746,3.0826615384615383,55.67664,2.0033333333333334,12,6,0.6910285392387098,-0.08546482304482794,4.00746
2019,1,605141,Mookie Betts,27.9,1.75,12.429531646,5.642240506,4.3401850046153845,53.186699999999995,2.0066666666666664,16,3,0.8289023501037636,0.0676699857959151,5.642240506
2019,2,624428,Adam Frazier,27.2,1.77,12.576537879,5.210234848,,,,5,5,0.5929104268326884,-0.1631659985931797,5.210234848
2019,3,608070,José Ramírez,27.9,1.75,12.295364583,5.031840278,3.8706463676923075,52.994654999999995,2.01,24,4,0.8452623152269796,0.08402995091913112,5.031840278
2019,4,608070,José Ramírez,27.9,1.76,12.295364583,5.031840278,3.8706463676923075,52.994654999999995,2.01,24,4,0.8452623152269796,0.08402995091913112,5.031840278
2019,5,547180,Bryce Harper,28.3,1.76,11.668186722,4.916755187,3.7821193746153843,53.0858475,1.9849999999999999,15,3,0.8214633218474054,0.05464717145298015,4.916755187
2019,6,595879,Javier Báez,28.6,1.75,10.957180952,4.696933333,,,,11,7,0.6475502783691446,-0.12471253525462955,4.696933333
2019,7,592663,J.T. Realmuto,28.7,1.76,12.115241176,4.642758824,,,,9,1,0.8595770934993551,0.08525894952971969,4.642758824
2019,8,665487,Fernando Tatis Jr.,29.3,1.75,11.307440154,4.53011583,3.4847044846153845,55.67,2.0,16,6,0.7368020889811232,-0.05236568439251832,4.53011583
2019,9,500743,Miguel Rojas,26.3,1.84,12.167167785,4.370013423,3.3615487869230765,45.698879999999996,1.92,9,5,0.6786134948679119,-0.07946579997997771,4.370013423
2019,10,542303,Marcell Ozuna,27.4,1.86,10.24402027,4.274513514,3.288087318461538,48.06507999999999,1.96,12,2,0.8365082317100171,0.07955812072949564,4.274513514
2019,11,596115,Trevor Story,29.2,1.7,12.970051546,4.217072165,3.2439016653846156,56.0859,1.97,23,8,0.7470460111802868,-0.03934710403925501,4.217072165
2019,12,660162,Yoán Moncada,27.8,1.73,12.317113333,4.00746,3.0826615384615383,52.4864,1.9666666666666668,10,3,0.7718698001383514,0.011733662432047098,4.00746
2019,13,660162,Yoán Moncada,27.8,1.73,12.317113333,4.00746,3.0826615384615383,52.4864,1.9666666666666668,10,3,0.7718698001383514,0.011733662432047098,4.00746
2019,14,660670,Ronald Acuña Jr.,29.3,1.7,12.019437956,3.908908759,3.0068528915384616,56.468424999999996,1.9766666666666666,37,9,0.8018364000488298,0.01266862667518831,3.908908759
2019,15,621020,Dansby Swanson,28.7,1.77,12.11732973,3.770048649,2.900037422307692,54.225779999999986,2.01,10,5,0.6946828201245163,-0.07963532384511907,3.770048649
2020,1,605141,Mookie Betts,28.3,1.78,12.429531646,5.642240506,,,,10,2,0.8172739060288426,0.050457755634417345,5.642240506
2020,2,608070,José Ramírez,27.2,1.78,12.295364583,5.031840278,,,,10,3,0.7718698001383514,0.01579337471248332,5.031840278
2020,3,547180,Bryce Harper,27.8,1.83,11.668186722,4.916755187,,,,8,2,0.7929104268326884,0.03277428912638414,4.916755187
2020,4,643396,Isiah Kiner-Falefa,28.1,1.81,12.344880734,4.535688073,,,,8,5,0.6607586890272403,-0.10302579238781706,4.535688073
2020,5,665487,Fernando Tatis Jr.,29.3,1.79,11.307440154,4.53011583,,,,11,3,0.7838766527626487,-0.005291120610992794,4.53011583
2020,6,596115,Trevor Story,28.9,1.79,12.970051546,4.217072165,,,,15,3,0.8214633218474054,0.042674853281926994,4.217072165
2020,7,663757,Trent Grisham,29.1,1.74,10.18492145,4.198489426,,,,10,1,0.8683535251556453,0.08461518012216485,4.198489426
2020,8,673357,Luis Robert Jr.,29.1,1.77,10.790703125,3.90459375,,,,9,2,0.8058535251556453,0.022115180122164846,3.90459375
2020,9,607208,Trea Turner,29.9,1.76,11.411938596,3.574809942,,,,12,4,0.7568407810709679,-0.051492588556107055,3.574809942
2020,10,516782,Starling Marte,28.4,1.8,12.167531646,2.556632911,,,,10,2,0.8172739060288426,0.048762089192673996,2.556632911
2021,1,605141,Mookie Betts,27.2,1.8,12.429531646,5.642240506,4.3401850046153845,49.92462857142856,1.9842857142857142,10,5,0.6946828201245163,-0.06139360530135174,5.642240506
2021,2,665862,Jazz Chisholm Jr.,29.1,1.73,12.165130769,5.637923077,4.336863905384615,54.54504,1.9525,23,8,0.7470460111802868,-0.036692333853193704,5.637923077
2021,3,624428,Adam Frazier,27.1,1.77,12.576537879,5.210234848,,,,10,5,0.6946828201245163,-0.06113659447608444,5.210234848
2021,4,608070,José Ramírez,28.1,1.74,12.295364583,5.031840278,3.8706463676923075,53.04483833333333,1.9766666666666666,27,4,0.858157122291398,0.09437264087634056,5.031840278
2021,5,608070,José Ramírez,28.1,1.8,12.295364583,5.031840278,3.8706463676923075,53.04483833333333,1.9766666666666666,27,4,0.858157122291398,0.09437264087634056,5.031840278
2021,6,547180,Bryce Harper,27.8,1.78,11.668186722,4.916755187,3.7821193746153843,52.11596499999999,2.005,13,3,0.8044598286900155,0.04432369098371125,4.916755187
2021,7,641584,Jake Fraley,27.7,1.73,12.234175182,4.711321168,3.624093206153846,52.918079999999996,1.99,10,2,0.8172739060288426,0.05811410695604413,4.711321168
2021,8,595879,Javier Báez,28.5,1.8,10.957180952,4.696933333,3.6130256407692305,51.80231249999999,1.9649999999999999,18,5,0.7819163000889402,0.0115889288429889,4.696933333
2021,9,592663,J.T. Realmuto,28.8,1.81,12.115241176,4.642758824,3.5713529415384615,52.46208,1.98,13,3,0.8044598286900155,0.02796646640647782,4.642758824
2021,10,650402,Gleyber Torres,27.0,1.83,10.310364407,4.591076271,3.5315971315384616,48.402899999999995,1.97,14,6,0.7157462560996131,-0.03993603564375969,4.591076271
2021,11,643396,Isiah Kiner-Falefa,28.0,1.8,12.344880734,4.535688073,3.4889908253846156,51.34675,1.9825,20,5,0.7964552134163442,0.034006734538910455,4.535688073
2021,12,665487,Fernando Tatis Jr.,29.2,1.77,11.307440154,4.53011583,3.4847044846153845,54.62152,1.99,25,4,0.8498134236026567,0.06342030838311485,4.53011583
2021,13,664023,Ian Happ,27.7,1.83,10.538212454,4.404992674,3.388455903076923,51.79899999999999,2.0,9,2,0.8058535251556453,0.04669372608284683,4.404992674
2021,14,664023,Ian Happ,27.7,1.78,10.538212454,4.404992674,3.388455903076923,51.79899999999999,2.0,9,2,0.8058535251556453,0.04669372608284683,4.404992674
2021,15,500743,Miguel Rojas,26.6,1.86,12.167167785,4.370013423,,,,13,3,0.8044598286900155,0.04812714869515644,4.370013423
2022,1,605141,Mookie Betts,27.4,1.81,12.429531646,5.642240506,4.3401850046153845,48.90351999999999,1.94,12,2,0.8365082317100171,0.07955812072949564,5.642240506
2022,2,665862,Jazz Chisholm Jr.,29.3,1.73,12.165130769,5.637923077,4.336863905384615,55.5528,1.975,12,5,0.7224389273859239,-0.06672884598771767,5.637923077
2022,3,624428,Adam Frazier,26.8,1.8,12.576537879,5.210234848,,,,11,6,0.6769843819313784,-0.07878332800165799,5.210234848
2022,4,608070,José Ramírez,28.5,1.74,12.295364583,5.031840278,,,,20,7,0.7466767625778227,-0.023650608668128625,5.031840278
2022,5,608070,José Ramírez,28.5,1.82,12.295364583,5.031840278,,,,20,7,0.7466767625778227,-0.023650608668128625,5.031840278
2022,6,547180,Bryce Harper,27.6,1.79,11.668186722,4.916755187,3.7821193746153843,50.0526,1.95,11,4,0.7446828201245163,-0.013620528282817568,4.916755187
2022,7,595879,Javier Báez,27.9,1.85,10.957180952,4.696933333,,,,9,2,0.8058535251556453,0.04462116084779688,4.696933333
2022,8,592663,J.T. Realmuto,28.7,1.82,12.115241176,4.642758824,,,,21,1,0.9219872741663083,0.14766913019667294,4.642758824
2022,9,650402,Gleyber Torres,26.9,1.85,10.310364407,4.591076271,3.5315971315384616,48.29894999999999,1.9949999999999999,10,5,0.6946828201245163,-0.060982236729668626,4.591076271
2022,10,666624,Christopher Morel,28.8,1.79,12.111735849,4.541754717,3.4936574746153846,53.969759999999994,2.0149999999999997,10,7,0.631529836476833,-0.14496352580670469,4.541754717
2022,11,643396,Isiah Kiner-Falefa,28.4,1.8,12.344880734,4.535688073,3.488990825384616,52.067139999999995,1.982,22,4,0.8352792387900105,0.06676742195384189,4.535688073
2022,12,681082,Bryson Stott,29.0,1.77,11.961878049,4.51182439,3.4706341461538464,56.700799999999994,2.08,12,4,0.7568407810709679,-0.02436268174449241,4.51182439
2022,13,677951,Bobby Witt Jr.,30.3,1.75,13.020939024,4.500591463,3.461993433076923,57.28215,1.99,30,7,0.8069918191069124,-0.01651637404991091,4.500591463
2022,14,641857,Ryan McMahon,25.8,1.79,10.081747368,4.470447368,,,,7,3,0.7262437601660217,-0.037144318797713405,4.470447368
2022,15,656941,Kyle Schwarber,26.4,1.82,11.027303483,4.432248756,3.40942212,48.31199999999999,2.0,10,1,0.8683535251556453,0.1109763232268055,4.432248756
2023,1,665923,Esteury Ruiz,29.6,1.73,14.319311111,5.684355556,4.372581196923076,54.41664,1.915,67,13,0.8340430164998861,0.03583194085570607,5.684355556
2023,2,605141,Mookie Betts,27.2,1.79,12.429531646,5.642240506,4.3401850046153845,50.46552,1.995,14,3,0.8133480182950148,0.05727159286914674,5.642240506
2023,3,665862,Jazz Chisholm Jr.,28.4,1.72,12.165130769,5.637923077,4.336863905384615,53.16763999999999,1.94,22,3,0.8631218800830108,0.09461006324684218,5.637923077
2023,4,678662,Ezequiel Tovar,28.1,1.8,12.819713656,5.417185022,4.167065401538461,49.385749999999994,1.9,11,5,0.7092217334519203,-0.05456274796313709,5.417185022
2023,5,680869,Zack Gelof,29.0,1.78,12.159210884,5.35655102,,,,14,2,0.8520788763090631,0.07087541349360282,5.35655102
2023,6,624428,Adam Frazier,26.5,1.79,12.576537879,5.210234848,4.007872959999999,48.7354875,1.9775,11,4,0.7446828201245163,-0.012112176853313117,5.210234848
2023,7,681546,James Outman,28.9,1.71,12.713019802,5.209613861,4.007395277692308,56.34632999999999,2.01,16,3,0.8289023501037636,0.05011388153828511,5.209613861
2023,8,608070,José Ramírez,27.8,1.77,12.295364583,5.031840278,3.8706463676923075,51.28405,1.9625,28,6,0.817786061602316,0.05764992389601176,5.031840278
2023,9,608070,José Ramírez,27.8,1.8,12.295364583,5.031840278,3.8706463676923075,51.28405,1.9625,28,6,0.817786061602316,0.05764992389601176,5.031840278
2023,10,547180,Bryce Harper,27.6,1.77,11.668186722,4.916755187,3.7821193746153843,49.2936,1.9,11,3,0.7838766527626487,0.025573304355314908,4.916755187
2023,11,641584,Jake Fraley,28.0,1.71,12.234175182,4.711321168,3.624093206153846,53.505199999999995,1.97,21,5,0.8030211742738814,0.0405726953964477,4.711321168
2023,12,595879,Javier Báez,28.1,1.83,10.957180952,4.696933333,3.6130256407692305,49.35203,1.93,12,0,0.9349209648523721,0.1711364834373147,4.696933333
2023,13,666139,Josh Lowe,28.7,1.72,12.320161616,4.644191919,3.5724553223076922,52.89840499999999,1.91,32,3,0.8973414100622581,0.12302326609262271,4.644191919
2023,14,592663,J.T. Realmuto,28.6,1.8,12.115241176,4.642758824,3.5713529415384615,51.58725,1.95,16,5,0.7651406308650125,-0.0071221827587616415,4.642758824
2023,15,650402,Gleyber Torres,26.4,1.87,10.310364407,4.591076271,3.5315971315384616,46.67871999999999,1.9866666666666666,13,6,0.7039023501037636,-0.053474851825076275,4.591076271
2024,1,605141,Mookie Betts,26.7,1.82,12.429531646,5.642240506,4.3401850046153845,46.41795,1.9000000000000001,16,2,0.8649415827169706,0.10895133173704252,5.642240506
2024,2,665862,Jazz Chisholm Jr.,28.6,1.73,12.165130769,5.637923077,4.336863905384615,54.545919999999995,1.9866666666666666,40,10,0.7980664800452786,0.025803666421504445,5.637923077
2024,3,678662,Ezequiel Tovar,28.1,1.81,12.819713656,5.417185022,4.167065401538461,51.18696,1.98,6,5,0.6183535251556453,-0.14543095625941205,5.417185022
2024,4,680869,Zack Gelof,28.7,1.76,12.159210884,5.35655102,4.120423861538462,53.971785,1.99,25,3,0.8755653455300099,0.10124720156037448,5.35655102
2024,5,650333,Luis Arraez,26.7,1.77,11.507441088,5.097534743,3.921180571538461,48.06267,1.915,9,3,0.7584503766170779,0.0024601256371498126,5.097534743
2024,6,661388,William Contreras,26.4,1.84,10.259566038,5.043672956,,,,9,2,0.8058535251556453,0.04847632322680551,5.043672956
2024,7,608070,José Ramírez,28.2,1.74,12.295364583,5.031840278,,,,41,7,0.8470501208017042,0.08180974888098203,5.031840278
2024,8,608070,José Ramírez,28.2,1.79,12.295364583,5.031840278,,,,41,7,0.8470501208017042,0.08180974888098203,5.031840278
2024,9,547180,Bryce Harper,27.4,1.79,11.668186722,4.916755187,,,,7,4,0.6808535251556453,-0.0760965858248761,4.916755187
2024,10,681297,Colton Cowser,28.2,1.74,11.27098913,4.832184783,3.7170652176923076,53.18872499999999,1.975,9,4,0.7163142445827959,-0.04892612733792623,4.832184783
2024,11,677587,Brayan Rocchio,26.8,1.88,12.381186851,4.780276817,3.6771360130769226,47.586079999999995,1.93,10,6,0.6616026858328726,-0.09416502410016381,4.780276817
2024,12,677587,Brayan Rocchio,26.8,1.81,12.381186851,4.780276817,3.6771360130769226,47.586079999999995,1.93,10,6,0.6616026858328726,-0.09416502410016381,4.780276817
2024,13,680700,Richie Palacios,27.9,1.76,12.564669118,4.721588235,3.6319909499999996,54.312929999999994,2.06,19,1,0.915746256099613,0.15451389179176456,4.721588235
2024,14,641584,Jake Fraley,28.3,1.69,12.234175182,4.711321168,3.624093206153846,54.91332,1.9799999999999998,20,5,0.7964552134163442,0.029639063021918877,4.711321168
2024,15,666139,Josh Lowe,28.4,1.73,12.320161616,4.644191919,3.5724553223076922,52.619519999999994,1.93,25,1,0.9320534323383975,0.1635416155022289,4.644191919
2025,1,605141,Mookie Betts,26.9,1.82,12.429531646,5.642240506,,,,8,2,0.7929104268326884,0.03724536997850347,5.642240506
2025,2,665862,Jazz Chisholm Jr.,27.6,1.77,12.165130769,5.637923077,4.336863905384615,50.590799999999994,1.95,31,8,0.7930376455111436,0.03473429710380982,5.637923077
2025,3,624428,Adam Frazier,26.6,1.78,12.576537879,5.210234848,4.007872959999999,48.00103,1.93,8,6,0.6259819159205434,-0.13035076407431567,5.210234848
2025,4,650333,Luis Arraez,26.5,1.79,11.507441088,5.097534743,3.921180571538461,48.05775,1.95,11,4,0.7446828201245163,-0.012112176853313117,5.097534743
2025,5,661388,William Contreras,26.2,1.84,10.259566038,5.043672956,3.8797484276923075,45.76222999999999,1.93,6,4,0.659577093499355,-0.09932418223562456,5.043672956
2025,6,608070,José Ramírez,28.4,1.75,12.295364583,5.031840278,3.8706463676923075,51.53179999999999,1.91,44,7,0.8552438643301843,0.08673204749401564,5.031840278
2025,7,608070,José Ramírez,28.4,1.78,12.295364583,5.031840278,3.8706463676923075,51.53179999999999,1.91,44,7,0.8552438643301843,0.08673204749401564,5.031840278
2025,8,547180,Bryce Harper,27.0,1.8,11.668186722,4.916755187,3.7821193746153843,47.95199999999999,1.92,12,2,0.8365082317100171,0.08082593996664433,4.916755187
2025,9,681297,Colton Cowser,27.4,1.74,11.27098913,4.832184783,3.7170652176923076,51.94149499999999,1.9849999999999999,14,0,0.9417713896047539,0.18482127862423248,4.832184783
2025,10,677587,Brayan Rocchio,27.0,1.82,12.381186851,4.780276817,,,,8,4,0.6996268472053133,-0.05605544453805944,4.780276817
2025,11,677587,Brayan Rocchio,27.0,1.85,12.381186851,4.780276817,,,,8,4,0.6996268472053133,-0.05605544453805944,4.780276817
2025,12,666139,Josh Lowe,28.1,1.75,12.320161616,4.644191919,,,,18,4,0.8108761630551973,0.04709168164013988,4.644191919
2025,13,592663,J.T. Realmuto,28.4,1.81,12.115241176,4.642758824,3.5713529415384615,50.16575999999999,1.92,8,2,0.7929104268326884,0.02439860999651977,4.642758824
2025,14,656305,Matt Chapman,28.1,1.81,11.095823529,4.584886555,,,,9,4,0.7163142445827959,-0.04747023683226148,4.584886555
2025,15,643396,Isiah Kiner-Falefa,27.4,1.82,12.344880734,4.535688073,3.4889908253846156,50.141999999999996,2.0,15,4,0.7872356834370969,0.030285572456575482,4.535688073
2026,1,665862,Jazz Chisholm Jr.,28.4,1.73,12.165130769,5.637923077,4.336863905384615,55.07327999999999,2.02,13,3,0.8044598286900155,0.035948011853846884,5.637923077
2026,2,608070,José Ramírez,27.3,1.76,12.295364583,5.031840278,,,,20,2,0.8849502371292713,0.12849691291009668,5.031840278
2026,3,677587,Brayan Rocchio,27.3,1.85,12.381186851,4.780276817,,,,9,4,0.7163142445827959,-0.04013907963637875,4.780276817
2026,4,677587,Brayan Rocchio,27.3,1.78,12.381186851,4.780276817,,,,9,4,0.7163142445827959,-0.04013907963637875,4.780276817
2026,5,680700,Richie Palacios,27.0,1.75,12.564669118,4.721588235,3.6319909499999996,48.47849999999999,1.89,7,4,0.6808535251556453,-0.07482876658772741,4.721588235
2026,6,665487,Fernando Tatis Jr.,28.8,1.8,11.307440154,4.53011583,3.4847044846153845,53.0136,1.99,14,6,0.7157462560996131,-0.06074710618392465,4.53011583
2026,7,681082,Bryson Stott,28.5,1.79,11.961878049,4.51182439,3.4706341461538464,52.744949999999996,1.99,10,0,0.9262437601660217,0.15591638892007043,4.51182439
2026,8,683083,Nasim Nuñez,29.6,1.67,11.528732719,4.505917051,,,,22,2,0.8928847035341492,0.09467362788996914,4.505917051
2026,9,677951,Bobby Witt Jr.,30.5,1.73,13.020939024,4.500591463,3.461993433076923,57.681599999999996,1.97,16,3,0.8289023501037636,-0.002912582626171112,4.500591463
2026,10,672640,Otto Lopez,28.5,1.81,12.599485632,4.495571839,,,,10,3,0.7718698001383514,0.0015424288924000829,4.495571839
2026,11,669364,Xavier Edwards,28.1,1.76,12.329751656,4.399771523,,,,8,2,0.7929104268326884,0.029125945417631027,4.399771523
2026,12,669364,Xavier Edwards,28.1,1.73,12.329751656,4.399771523,,,,8,2,0.7929104268326884,0.029125945417631027,4.399771523
2026,13,805300,Jakob Marsee,27.9,1.74,11.938128205,4.371025641,,,,14,7,0.6882175539419356,-0.07301481036591284,4.371025641
2026,14,664983,Jake McCarthy,29.8,1.74,12.197339806,4.292359223,3.3018147869230767,56.06423,1.97,9,2,0.8058535251556453,0.0010141414909086155,4.292359223
2026,15,676609,José Caballero,28.2,1.79,13.012705882,4.275261438,,,,13,6,0.7039023501037636,-0.06133802181695858,4.275261438
